Source,d15N_alaphe,d15N_thrphe
MD,8.6,-6.1
MD,8.4,-5.5
MD,10.2,-2
MD,13.9,-1.3
zooplankton,12.7,-7.2
zooplankton,14,-9.3
zooplankton,16.5,-8.7
zooplankton,18.1,-10.9
zooplankton,17.9,-11
zooplankton,19,-8.6
zooplankton,20.1,-7.9
zooplankton,18.7,-10
zooplankton,14.6,-7.4
zooplankton,14.1,-6.8
zooplankton,14,-7.6
zooplankton,14.4,-9.8
zooplankton,15.8,-8.2
zooplankton,12.9,-12.1
zooplankton,15.1,-9.4
zooplankton,16.5,-13.6
zooplankton,14.6,-8
zooplankton,14.3,-10
zooplankton,17.3,-9.4
zooplankton,15.7,-11.3
zooplankton,15.5,-10
zooplankton,16.8,-8.6
zooplankton,11.55,-7.03
zooplankton,14.33,-7.24
zooplankton,13.91,-8.41
zooplankton,16.03,-11.1
zooplankton,10.25,-9.02
zooplankton,13.25,-8.95
zooplankton,14.85,-9.1
zooplankton,11.4,-2.8
zooplankton,10.9,-0.9
zooplankton,11.2,-4.4
zooplankton,11.2,-7.2
zooplankton,10.7,-4.6
zooplankton,18.8,-5.4
zooplankton,17.5,-10.3
zooplankton,19.3,-10.4
zooplankton,19.6,-4.5
zooplankton,16.8,-3.5
zooplankton,11.1,-2.4
zooplankton,19.8,-14.8
zooplankton,19.3,-11.8
zooplankton,11.3,-13.1
zooplankton,15.3,-15.8
zooplankton,12.9,-9.9
zooplankton,12.3,-9.1
zooplankton,12.5,-12.2
zooplankton,14,-12.7
zooplankton,12.1,-15.4
fecal pellets,9.1,-5.9
fecal pellets,11.5,-11.2
fecal pellets,1.3,-6.8
fecal pellets,3.6,-10.5
fecal pellets,9.9,-8
fecal pellets,7.8,-12.1
fecal pellets,10.7,-16.7
phytoplankton,3.7,1
phytoplankton,6.42,-0.2
phytoplankton,2.88,1.4
phytoplankton,-2.05,-0.2
phytoplankton,-0.49,-1.3
phytoplankton,1.89,6.3
phytoplankton,-3.51,-4.5
phytoplankton,-2.26,1.7
phytoplankton,-2.15,2.1
phytoplankton,3.57,4.4
phytoplankton,7.66,5.3
phytoplankton,0.4,3
