Coral ID,Sample #,d15N_alaphe,d15N_thrphe
D621_1B,1,11.968,-21.71242857
D621_1B,4,11.32833333,-19.20766667
D621_1B,9,12.73033333,-17.5247619
D621_1B,15,11.81991667,-17.4225
D621_1B,20,11.53933333,-17.96966667
D621_1B,22,13.543,-18.41242857
D621_1B,26,9.884666667,-17.14066667
D621_1B,30,10.92,-19.29846667
D621_1B,34,14.04366667,-18.14613333
D621_1B,38,10.7765,-19.19783333
D621_1B,41,13.00666667,-20.29413333
D621_1B,45,12.89961905,-20.70404762
D621_1B,56,14.17328571,-18.30638095
D639_1C,4,12.06861905,-18.19104762
D639_1C,7,12.25116667,-17.56266667
D639_1C,12,12.0735,-19.03033333
D639_1C,14,12.53183333,-19.56133333
D639_1C,16,14.46016667,-18.182
D639_1C,25,11.537,-18.66266667
D639_1C,29,13.24391667,-17.9885
D639_1C,32,11.7125,-19.1235
D639_1C,39,11.281,-17.341
D639_1C,46,10.5245,-17.514
D639_1C,53,10.66816667,-16.52083333
D639_1C,56,11.2525,-16.893
D639_1C,59,12.00766667,-17.712
D639_1C,61,12.25933333,-16.00433333
D639_1C,65,11.72533333,-17.156
