Year,Month,Port,Gender,Length,Surface Age #1,Break-and-Burn #1,Surface Age #2,Break-and-Burn #2,Delta14C,Birth Year
1959,4,OSF(estimate),F,444,9,9,9,9,-87.60,1950.00
1959,8,ERK(estimate),F,436,8,8,8,8,-98.40,1951.00
1959,4,Unknown,F,398,6,6,6,6,-99.00,1953.00
1959,3,OSF(estimate),F,334,5,5,5,5,-103.50,1954.00
1959,4,OSF(estimate),F,376,5,5,5,5,-105.20,1954.00
1959,4,OSF(estimate),F,352,5,5,5,5,-110.20,1954.00
1959,4,OSF(estimate),F,330,4,4,4,4,-102.50,1955.00
1961,4,Unknown ,M,326,5,5,5,5,-93.20,1956.00
1961,10,Unknown ,F,340,5,5,5,5,-104.00,1956.00
1963,1,Unknown ,M,312,5,5,5,5,-95.60,1958.00
1966,11,ERK(estimate),-,-,5,5,5,5,-89.70,1961.00
1968,4,BRG,F,370,5,5,5,5,-56.00,1963.00
1968,4,OSF,F,322,4,4,4,4,-63.40,1964.00
1970,9,OSF,F,410,5,5,5,5,-30.80,1965.00
1970,9,OSF,F,356,4,4,4,4,-35.20,1966.00
1970,9,OSF,F,348,4,4,4,4,-51.20,1966.00
1970,9,OSF,F,350,4,4,4,4,-47.50,1966.00
1972,5,ERK,F,300,5,5,5,5,-32.00,1967.00
1972,5,ERK,F,350,5,5,5,5,-20.80,1967.00
1972,5,ERK,F,310,4,4,4,4,22.10,1968.00
1974,6,ERK,F,332,4,4,4,4,-11.00,1970.00
1976,3,BRG,F,319,5,5,5,5,29.60,1971.00
1976,3,BRG,F,332,5,5,5,5,10.30,1971.00
1976,4,BRG,F,318,5,5,5,5,-71.80,1971.00
1976,10,BRG,F,204,3,3,3,3,-25.10,1973.00
1978,4,ERK,F,377,5,5,5,5,4.00,1973.00
1978,6,ERK,F,314,3,3,3,3,10.20,1975.00
1979,6,OSF,F,313,4,4,4,4,14.50,1975.00
1980,8,BRG,F,278,3,3,3,3,20.70,1977.00
1983,3,BRG,F,305,5,5,5,5,22.30,1978.00
1983,3,BRG,F,330,4,4,4,4,43.80,1979.00
1984,8,ERK,F,324,5,5,5,5,38.60,1979.00
1984,10,ERK,F,322,3,3,3,3,20.90,1981.00
1986,4,ERK,F,296,4,4,4,4,25.40,1982.00
1987,4,BRG,F,294,4,4,4,4,53.80,1983.00
1987,4,BRG,F,306,4,4,4,4,41.20,1983.00
1987,4,BRG,F,243,3,3,3,3,32.50,1984.00
