Coral ID,Sample #,C/N
D639_1C,1,2.792280296
D639_1C,2,2.750640138
D639_1C,3,2.754903159
D639_1C,4,2.728459755
D639_1C,5,2.727602363
D639_1C,6,2.701051723
D639_1C,7,2.703043254
D639_1C,8,2.704416028
D639_1C,9,2.671751566
D639_1C,10,2.698365235
D639_1C,11,2.660264984
D639_1C,12,2.697091981
D639_1C,13,2.676355446
D639_1C,14,2.725736972
D639_1C,15,2.720383954
D639_1C,16,2.710848141
D639_1C,17,2.702987874
D639_1C,18,2.689962072
D639_1C,19,2.687969902
D639_1C,20,2.686496444
D639_1C,21,2.67481088
D639_1C,22,2.667338604
D639_1C,23,2.685339966
D639_1C,24,2.645046175
D639_1C,25,2.660276977
D639_1C,26,2.698308114
D639_1C,27,2.708874429
D639_1C,28,2.714178014
D639_1C,29,2.737873861
D639_1C,30,2.730717004
D639_1C,31,2.791215189
D639_1C,32,2.790997274
D639_1C,33,2.822719573
D639_1C,34,2.756882878
D639_1C,35,2.694166176
D639_1C,36,2.675846151
D639_1C,37,2.660558626
D639_1C,38,2.666423725
D639_1C,39,2.645054071
D639_1C,40,2.702118535
D639_1C,41,2.708232416
D639_1C,42,2.703256832
D639_1C,43,2.693332058
D639_1C,44,2.687580013
D639_1C,45,2.689072696
D639_1C,46,2.691067052
D639_1C,47,2.663117113
D639_1C,48,-
D639_1C,49,2.660516218
D639_1C,50,2.642053496
D639_1C,51,2.662406463
D639_1C,52,2.648337011
D639_1C,53,2.707463101
D639_1C,54,2.698687389
D639_1C,55,2.695994692
D639_1C,56,2.680116171
D639_1C,57,2.681361051
D639_1C,58,2.6805837
D639_1C,59,2.676886416
D639_1C,60,2.659411512
D639_1C,61,2.679331342
D639_1C,62,2.672349388
D639_1C,63,2.676802632
D639_1C,64,2.705137632
D639_1C,65,2.685712606
