End-member,d15N_thr-phe,d15N_ala-phe,source,location,
MD,-6.1,8.6,"Yamaguchi & McCarthy, 2018",NPSG,
MD,-5.5,8.4,"Yamaguchi & McCarthy, 2018",NPSG,
MD,-2,10.2,"Yamaguchi & McCarthy, 2018",NPSG,
MD,-1.3,13.9,"Yamaguchi & McCarthy, 2018",NPSG,
zooplankton,-7.2,12.7,"Hannides et al., 2020",ALOHA,
zooplankton,-9.3,14,"Hannides et al., 2020",ALOHA,
zooplankton,-8.7,16.5,"Hannides et al., 2020",ALOHA,
zooplankton,-10.9,18.1,"Hannides et al., 2020",ALOHA,
zooplankton,-11,17.9,"Hannides et al., 2009",ALOHA,
zooplankton,-8.6,19,"Hannides et al., 2009",ALOHA,
zooplankton,-7.9,20.1,"Hannides et al., 2009",ALOHA,
zooplankton,-10,18.7,"Hannides et al., 2009",ALOHA,
zooplankton,-7.4,14.6,"Hannides et al., 2009",ALOHA,
zooplankton,-6.8,14.1,"Hannides et al., 2009",ALOHA,
zooplankton,-7.6,14,"Hannides et al., 2009",ALOHA,
zooplankton,-9.8,14.4,"Hannides et al., 2009",ALOHA,
zooplankton,-8.2,15.8,"Hannides et al., 2009",ALOHA,
zooplankton,-12.1,12.9,"Hannides et al., 2009",ALOHA,
zooplankton,-9.4,15.1,"Hannides et al., 2009",ALOHA,
zooplankton,-13.6,16.5,"Hannides et al., 2009",ALOHA,
zooplankton,-8,14.6,"Hannides et al., 2009",ALOHA,
zooplankton,-10,14.3,"Hannides et al., 2009",ALOHA,
zooplankton,-9.4,17.3,"Hannides et al., 2009",ALOHA,
zooplankton,-11.3,15.7,"Hannides et al., 2009",ALOHA,
zooplankton,-10,15.5,"Hannides et al., 2009",ALOHA,
zooplankton,-8.6,16.8,"Hannides et al., 2009",ALOHA,
zooplankton,-7.03,11.55,"Hannides et al., 2013",ALOHA,
zooplankton,-7.24,14.33,"Hannides et al., 2013",ALOHA,
zooplankton,-8.41,13.91,"Hannides et al., 2013",ALOHA,
zooplankton,-11.1,16.03,"Hannides et al., 2013",ALOHA,
zooplankton,-9.02,10.25,"Hannides et al., 2013",ALOHA,
zooplankton,-8.95,13.25,"Hannides et al., 2013",ALOHA,
zooplankton,-9.1,14.85,"Hannides et al., 2013",ALOHA,
zooplankton,-2.8,11.4,"Mclelland & Montoya, 2003",Tropical NA,
zooplankton,-0.9,10.9,"Mclelland & Montoya, 2003",Tropical NA,
zooplankton,-4.4,11.2,"Mclelland & Montoya, 2003",Tropical NA,
zooplankton,-7.2,11.2,"Mclelland & Montoya, 2003",Tropical NA,
zooplankton,-4.6,10.7,"Mclelland & Montoya, 2003",Tropical NA,
zooplankton,-5.4,18.8,"Romero-Romero et al., 2020",EP,
zooplankton,-10.3,17.5,"Romero-Romero et al., 2020",EP,
zooplankton,-10.4,19.3,"Romero-Romero et al., 2020",EP,
zooplankton,-4.5,19.6,"Romero-Romero et al., 2020",EP,
zooplankton,-3.5,16.8,"Romero-Romero et al., 2020",EP,*3.5 in supplement but figures show no positive values
zooplankton,-2.4,11.1,"Romero-Romero et al., 2020",EP,
zooplankton,-14.8,19.8,"Romero-Romero et al., 2020",EP,
zooplankton,-11.8,19.3,"Romero-Romero et al., 2020",EP,
zooplankton,-13.1,11.3,"Doherty et al., 2021",SO,
zooplankton,-15.8,15.3,"Doherty et al., 2021",NEP,
zooplankton,-9.9,12.9,"Doherty et al., 2021",NEP,
zooplankton,-9.1,12.3,"Doherty et al., 2021",Sargasso,
zooplankton,-12.2,12.5,"Doherty et al., 2021",Sargasso,
zooplankton,-12.7,14,"Doherty et al., 2021",Sargasso,
zooplankton,-15.4,12.1,"Doherty et al., 2021",Sargasso,
fecal pellets,-5.9,9.1,"Doherty et al., 2021",SO,
fecal pellets,-11.2,11.5,"Doherty et al., 2021",NEP,
fecal pellets,-6.8,1.3,"Doherty et al., 2021",NEP,
fecal pellets,-10.5,3.6,"Doherty et al., 2021",Sargasso,
fecal pellets,-8,9.9,"Doherty et al., 2021",Sargasso,
fecal pellets,-12.1,7.8,"Doherty et al., 2021",Sargasso,
fecal pellets,-16.7,10.7,"Doherty et al., 2021",Sargasso,
phytoplankton,1,3.7,"McCarthy et al., 2013",culture,
phytoplankton,-0.2,6.42,"McCarthy et al., 2013",culture,
phytoplankton,1.4,2.88,"McCarthy et al., 2013",culture,
phytoplankton,-0.2,-2.05,"McCarthy et al., 2013",culture,
phytoplankton,-1.3,-0.49,"McCarthy et al., 2013",culture,
phytoplankton,6.3,1.89,"McCarthy et al., 2013",culture,
phytoplankton,-4.5,-3.51,"McCarthy et al., 2013",culture,
phytoplankton,1.7,-2.26,"McCarthy et al., 2013",culture,
phytoplankton,2.1,-2.15,"McCarthy et al., 2013",culture,
phytoplankton,4.4,3.57,"McCarthy et al., 2013",culture,
phytoplankton,5.3,7.66,"McCarthy et al., 2013",culture,
phytoplankton,3,0.4,"McClelland & Montoya, 2003",culture,
