Coral ID,Sample #,Ala,Gly,Thr,Ser,Val,Leu,Ile,Pro,Asp,Glu,Phe,Lys
D639_1C,4,9.24,32.70,6.29,5.76,4.40,2.36,2.72,5.09,11.54,11.00,1.83,7.05
D639_1C,7,11.18,34.88,6.18,5.17,5.16,2.27,3.06,4.62,10.46,9.42,1.65,5.97
D639_1C,12,9.06,32.60,6.13,5.23,4.41,2.29,2.75,5.24,11.66,11.35,1.89,7.40
D639_1C,14,11.10,33.95,6.50,5.03,5.60,2.45,3.32,4.63,10.50,8.63,1.85,6.44
D639_1C,16,11.60,32.91,7.54,5.97,6.21,2.58,3.76,3.83,9.27,6.99,1.95,7.40
D639_1C,25,11.00,33.66,6.19,5.58,5.27,2.23,3.07,4.17,10.19,9.86,1.83,6.96
D639_1C,29,10.91,34.59,5.99,5.23,5.04,2.29,3.00,5.31,10.67,9.18,1.55,6.23
D639_1C,39,12.03,34.71,6.63,5.42,5.46,2.35,3.29,4.09,9.14,8.53,1.77,6.57
D639_1C,46,10.18,32.11,7.65,6.69,5.69,2.66,3.69,4.11,10.81,6.40,2.18,7.83
D639_1C,56,10.82,34.40,6.15,5.23,4.73,2.28,2.90,4.39,11.57,9.70,1.76,6.07
D639_1C,59,9.80,33.95,6.34,5.38,4.67,2.35,3.15,4.60,11.47,9.82,1.79,6.66
D639_1C,61,9.62,33.47,6.49,5.75,4.69,2.42,3.06,4.53,10.69,9.75,1.96,7.55
D639_1C,65,10.80,34.25,6.33,5.25,4.77,2.27,2.96,4.30,11.46,9.73,1.73,6.15
D621_1B,1,10.94,31.98,6.28,5.97,4.51,2.47,2.95,5.00,10.99,10.58,1.69,6.65
D621_1B,9,11.12,31.76,6.05,5.83,4.65,2.51,3.12,5.08,11.61,9.93,1.85,6.48
D621_1B,15,11.02,30.61,6.01,5.78,4.54,2.64,3.07,5.02,12.43,10.14,2.11,6.62
D621_1B,22,11.74,31.75,5.74,5.53,4.51,2.49,2.93,4.58,12.09,10.10,1.87,6.67
D621_1B,45,11.44,28.23,6.56,6.31,5.23,2.80,3.59,5.13,11.94,9.59,2.19,6.99
D621_1B,56,11.26,27.91,6.45,6.10,5.14,2.99,3.61,5.45,12.20,9.64,2.39,6.87
D621_1B,4,10.76,36.70,4.67,4.81,4.73,1.74,3.11,4.88,11.18,8.38,1.61,7.42
D621_1B,20,11.08,37.62,4.41,4.85,4.71,1.80,3.27,4.75,11.01,8.11,1.78,6.63
D621_1B,26,10.92,37.91,4.67,4.83,4.51,1.80,3.14,4.88,11.26,8.16,1.49,6.42
D621_1B,30,12.07,39.91,4.79,4.93,5.03,1.57,3.13,4.88,11.47,8.15,0.96,3.10
D621_1B,34,5.94,32.15,4.71,5.54,3.51,1.91,3.26,5.83,14.61,11.19,2.24,9.12
D621_1B,38,10.98,37.58,4.58,4.61,4.57,1.79,3.11,4.79,10.99,8.40,1.63,6.98
D621_1B,41,11.32,37.17,4.58,4.65,5.08,1.79,3.55,4.77,11.14,8.01,1.62,6.31
D639_1C,32,9.54,35.14,5.03,5.03,5.24,1.87,3.65,6.12,11.19,8.31,1.84,7.03
D639_1C,53,9.19,34.92,4.99,5.08,5.08,1.78,3.56,4.80,12.31,9.22,1.63,7.44
