agency_cd,site_no,parameter_cd,ts_id,wtr_yr,mean_discharge
USGS,11152500,00060,8712,1942,737.3
USGS,11152500,00060,8712,1943,1029
USGS,11152500,00060,8712,1944,399.6
USGS,11152500,00060,8712,1945,404.7
USGS,11152500,00060,8712,1946,182.7
USGS,11152500,00060,8712,1947,9.62
USGS,11152500,00060,8712,1948,4.49
USGS,11152500,00060,8712,1949,69.9
USGS,11152500,00060,8712,1950,40.7
USGS,11152500,00060,8712,1951,48.9
USGS,11152500,00060,8712,1952,920.6
USGS,11152500,00060,8712,1953,158.3
USGS,11152500,00060,8712,1954,98.3
USGS,11152500,00060,8712,1955,2.69
USGS,11152500,00060,8712,1956,542.6
USGS,11152500,00060,8712,1957,2.34
USGS,11152500,00060,8712,1958,923.5
USGS,11152500,00060,8712,1959,170.2
USGS,11152500,00060,8712,1960,34.4
USGS,11152500,00060,8712,1961,1.37
USGS,11152500,00060,8712,1962,167.7
USGS,11152500,00060,8712,1963,243.4
USGS,11152500,00060,8712,1964,36.9
USGS,11152500,00060,8712,1965,77.1
USGS,11152500,00060,8712,1966,40
USGS,11152500,00060,8712,1967,765.3
USGS,11152500,00060,8712,1968,15.6
USGS,11152500,00060,8712,1969,2040
USGS,11152500,00060,8712,1970,224.7
USGS,11152500,00060,8712,1971,51
USGS,11152500,00060,8712,1972,11
USGS,11152500,00060,8712,1973,588.3
USGS,11152500,00060,8712,1974,469.7
USGS,11152500,00060,8712,1975,361.7
USGS,11152500,00060,8712,1976,14
USGS,11152500,00060,8712,1977,2.21
USGS,11152500,00060,8712,1978,1393
USGS,11152500,00060,8712,1979,177.3
USGS,11152500,00060,8712,1980,1195
USGS,11152500,00060,8712,1981,87.1
USGS,11152500,00060,8712,1982,355.3
USGS,11152500,00060,8712,1983,2997
USGS,11152500,00060,8712,1984,310.9
USGS,11152500,00060,8712,1985,7.91
USGS,11152500,00060,8712,1986,556.7
USGS,11152500,00060,8712,1987,28.7
USGS,11152500,00060,8712,1988,3.62
USGS,11152500,00060,8712,1989,2.15
USGS,11152500,00060,8712,1990,0.807
USGS,11152500,00060,8712,1991,43.1
USGS,11152500,00060,8712,1992,35.2
USGS,11152500,00060,8712,1993,543.2
USGS,11152500,00060,8712,1994,8.02
USGS,11152500,00060,8712,1995,1156
USGS,11152500,00060,8712,1996,406.4
USGS,11152500,00060,8712,1997,886.8
USGS,11152500,00060,8712,1998,1755
USGS,11152500,00060,8712,1999,122.2
USGS,11152500,00060,8712,2000,317.1
USGS,11152500,00060,8712,2001,193.1
USGS,11152500,00060,8712,2002,25.6
USGS,11152500,00060,8712,2003,35.9
USGS,11152500,00060,8712,2004,32.2
USGS,11152500,00060,8712,2005,686.7
USGS,11152500,00060,8712,2006,494.2
USGS,11152500,00060,8712,2007,12.7
USGS,11152500,00060,8712,2008,107.1
USGS,11152500,00060,8712,2009,13.4
USGS,11152500,00060,8712,2010,278.2
USGS,11152500,00060,8712,2011,558.3
USGS,11152500,00060,8712,2012,25.8
USGS,11152500,00060,8712,2013,33.8
USGS,11152500,00060,8712,2014,0.784
USGS,11152500,00060,8712,2015,0.004
USGS,11152500,00060,8712,2016,0
USGS,11152500,00060,8712,2017,456
USGS,11152500,00060,8712,2018,28.2
USGS,11152500,00060,8712,2019,322.8
USGS,11152500,00060,8712,2020,30.4
USGS,11152500,00060,8712,2021,23.7
USGS,11152500,00060,8712,2022,7.08
